Cooper:	COOPER:
So he, very early, went and he joined the Roosevelt bandwagon.	בשלב מוקדם, הוא הצטרף לצוות של רוזוולט.
Kennedy really enters politics for the first time.	קנדי נכנס לפוליטיקה בפעם הראשונה.
- Joe had been a very enthusiastic and a very important supporter of FDR, particularly around election time, 1932, 1936, and 1940.	ג'ו היה תומך נלהב וחשוב מאוד ברוזוולט, בעיקר בזמן הבחירות, ‏1932, 1936 ו
And Joe Kennedy was a very important Catholic at a time when the Catholic vote, as it remains today, was very important, and he would not just contribute money, but he would entice other important people like William Randolph Hearst as well as Catholics	-1940, וג'ו קנדי היה קתולי חשוב מאוד בתקופה שבה הקתולים הצביעו, זה היה חשוב מאוד, והוא לא רק תרם כסף, הוא גייס אנשים חשובים נוספים כמו ויליאם רנדולף הרסט
around the country to support FDR. So he thought that FDR owed him.	וקתולים ברחבי המדינה לתמוך ברוזוולט, הוא חשב שרוזוולט חייב לו.
- Finally, Roosevelt gets in touch with Kennedy, and he offers him the position.	לבסוף, רוזוולט יצר קשר עם קנדי והציע לו את התפקיד.
- Joe Kennedy's new role in the public sphere would push the entire Kennedy family into the center of world politics.	תפקידו החדש של ג'ו קנדי בתחום הציבורי ידחף את כל משפחת קנדי למרכז הפוליטיקה העולמית.
- By early 1938, Joe Kennedy was the new United States ambassador to Great Britain.	בתחילת 1938 ג'ו קנדי היה השגריר החדש של ארצות הברית בבריטניה.
- That would have been the most important and most prestigious ambassadorship that would have been offered, and Franklin Roosevelt gave it to Joe Kennedy.	זו הייתה השגרירות ריצ'רד ניל, חבר קונגרס הכי חשובה ויוקרתית שאפשר להציע ופרנקלין רוזוולט נתן אותה לג'ו קנדי.
- You're kind of excited.	-זה הטיול הראשון שלי לאירופה והתרגשתי מאוד, לא נרדמתי אמש. אתה מתרגש.
- Roosevelt sends Kennedy to England as a statement as much as anything else.	רוזוולט שלח את קנדי לאנגליה כהצהרה.
It's a statement to the English that I'm gonna send you an Irish Catholic.	זו הצהרה לאנגלים: "אשלח לכם אירי קתולי."
He also tells Kennedy, "Look, I need eyes "and ears over there.	הוא גם אמר לקנדי: "תראה, אני צריך עיניים ואוזניים שם.
"Europe is falling apart, and I can't trust anybody.	"אירופה מתפרקת ואני לא סומך על אף אחד.
"I need someone over there to tell me, are the British gonna be able to fight?	"אני צריך שם מישהו שיגיד לי, הבריטים יוכלו להילחם?
"Are the British gonna be able to stand up against the Nazis?"	"הבריטים יעמדו מול הנאצים?"
- Kennedy, from the beginning, doesn't simply report on what's going on in Europe.	קנדי, מההתחלה, לא סתם דיווח על המתרחש באירופה.
Kennedy is determined that he knows better than Roosevelt and everybody else.	קנדי היה בטוח שהוא יודע יותר מרוזוולט ומכולם.
- The American people do not have to go to war.	האמריקנים לא צריכים להיכנס למלחמה.
They will not go to war if they will to stay out of war.	הם לא ייכנסו למלחמה אם יהיו מוכנים להתרחק מהמלחמה.
- He opposed U.S. involvement in the war.	הוא התנגד למעורבות ארצות הברית במלחמה.
He was actually a person who might be classified today as an appeaser.	סטיבן שלזינגר, בנו של העוזר של ג'ון קנדי הוא היה מה שנקרא היום פייסן.
