Previously on "The Blacklist"...	سابقا في "القائمة السوداء"...
waving my arms and legs before several thousand "amused spectators."	‫"كالمغفل اللعين، ألوح بذراعي وساقي ‫أمام بضعة آلاف من المشجعين المستمتعين."
He was elected to several clubs, and fully expected an invitation to join Harvard's most exclusive club, the porcellian.	‫تم اختياره لنواد متعددة وتوقع دعوة ‫للانضمام إلى نادي "هارفارد" الأكثر حصرية ‫"ذا بورسيليان".
His own father had been an honorary member;	‫فقد كان إرثاً في نهاية الأمر، ‫فقد كان والده عضواً شرفياً
His famous cousin, Theodore, belonged.	‫وابن عمه الشهير ‫"ثيودور" كان عضواً فعلياً.
But Franklin was blackballed, probably by someone who knew him at Groton, which made it even worse.	‫ولكن تم التصويت بالرفض لـ"فرانكلين" ‫في الغالب عن طريق شخص عرفه في "غروتون" ‫مما جعل الأمر أسوأ.
As always, he let no one know how hurt he was, but 15 years later, he would confide to a young relative that his rejection by porcellian had been the "greatest"	‫كالعادة، لم يعلم أحد بمدى ألمه ‫ولكن بعد 15 عاماً ‫يأتمن قريباً أصغر منه سناً ويخبره ‫إن الرفض في نادي "ذا بورسيليان"
"disappointment" of his life.	‫كان أكبر خيبة أمل في حياته.
He was disappointed in love, as well.	‫خاب أمله في الحب أيضاً.
Alice Sohier was the beautiful daughter of a wealthy Massachusetts yachtsman...	‫كانت الجميلة "أليس سوير" ‫ابنة ثري يصنع اليخوت في "ماساتشوستس".
The "loveliest" debutante of her year, Franklin remembered...	‫أجمل فتاة حديثة الظهور ‫كما تذكرها "فرانكلين"
And after courting her for several months he asked her to marry him.	‫وبعد التودد إليها بضعة أشهر ‫طلب منها الزواج به.
One day he hoped to be President like his fifth cousin, he told her, and he hoped to have no fewer than 6 children, the same number that now called the executive mansion home.	‫كان يأمل أن يصبح رئيساً ذات يوم ‫مثل ابن عمه كما أخبرها ‫وأمل ألا ينجب أقل من ستة أطفال ‫العدد ذاته الذي يملأ ‫منزل القسم التنفيذي الآن.
Alice turned him down.	‫رفضت "أليس" طلبه.
Later, she would say that she'd rejected his proposal in part because "I did not wish to become a cow."	‫لاحقاً، قالت إنها رفضت طلبه لأنها ‫"لا ترغب في أن تصبح كالبقرة."
Franklin never told his mother about Alice, and to ensure she did not know too much about his private life, had used a secret code in his terse diary.	‫لم يخبر "فرانكلين" والدته عن "أليس" ‫ليحرص على ألا ‫تعرف الكثير عن حياته الشخصية ‫كان قد استخدم رمزاً سرياً ‫في مذكراته الملخصة.
But within weeks of his parting with Alice Sohier in the late summer of 1902, a new name began to appear in its pages.	‫ولكن بعد أسابيع من افتراقه ‫عن "أليس سوير" في أواخر صيف 1902 ‫بدأ اسم جديد بالظهور ‫في هذه الصفحات.
I have always been fond of the old west African proverb:	‫طالما كنت معجباً بالمثل ‫الغرب إفريقي القائل
"Speak softly and carry a big stick and you will go far."	‫"تحدث بهدوء واحمل عصا كبيرة ‫وستنجز الكثير."
The American expansionism Roosevelt had advocated since long before his days at the Navy department had succeeded beyond his dreams.	‫التوسعية الأمريكية التي دعمها ‫"روزفلت" حتى قبل أيامه في البحرية ‫قد نجحت أكثر مما حلم.
The United States was now a world power.	‫اصبحت "الولايات المتحدة" الآن ‫قوة عالمية.
It had annexed Hawaii, driven Spain from the new world, dominated Cuba and Puerto Rico, wrested the Philippines from the Spanish and then begun a brutal, bloody campaign to subjugate the philippine people, who wanted to be free of foreign rule by anyone, including Americans.	‫لقد ضمت "هاواي" لها وقادت ‫"أسبانيا" خارج العالم الحديث ‫وسيطرت على "كوبا" و"بورتو ريكو" ‫ونزعت "الفلبين" من الأسبان
Tens of thousands died so that the United States could gain a foothold in the pacific.	‫مات عشرات الآلاف حتى تحصل ‫"الولايات المتحدة" ‫على موطىء قدم في المحيط الهادىء.
To anti-imperialists, like mark twain, such military adventures betrayed American principles and Roosevelt himself was nothing more than a "showy charlatan."	‫بالنسبة لمعادي الإمبريالية ‫مثل "مارك تواين" ‫فإن العمل العسكري المماثل هو ‫خيانة لمبادىء "أمريكا" ‫وكذلك "روزفلت" ‫ذاته ليس إلا "محتال متظاهر".
I am an anti-imperialist.	‫"أنا معاد للإمبريالية
I am opposed to having the eagle put its talons on any other land.	‫ولا أوافق على أن يزرع النسر مخالبه ‫في أي أرض أخرى"
Criticism did not much concern Theodore Roosevelt.	‫لم يهتم "ثيودور روزفلت" للانتقادات
He divided the world into what he called "civilized" nations industrialized and mostly white...	‫فقد قسم العالم إلى ما يدعوه ‫"الشعوب المتحضرة" ‫وهي صناعية وأغلبها من البيض
And "uncivilized" nations that produced raw materials, bought products instead of manufacturing them, and were incapable, he believed, of self-government.	‫و"شعوب غير متحضرة" ‫والتي أنتجت المواد الخام ‫وتقوم بشراء المنتجات بدلاً من صنعها ‫وهم غير قادرين ‫كما اعتقد على حكم أنفسهم.
The great enemy of civilization was what he called "chaos."	‫إن عدو التحضر العظيم ‫كما دعاه هو "الفوضى".
To combat it, it was the duty of "civilized and orderly" "powers" to police the rest.	‫لمحاربة الفوضى فإن مهمة ‫القوى المتحضرة والمنظمة أن تحكم العالم.
Britain should be responsible for India and Egypt.	‫على "بريطانيا" أن تكون مسؤولة ‫عن "الهند" و"مصر".
Japan...	‫"اليابان" والتي أعدها "روزفلت" ‫بين الشعوب المتحضرة
Which Roosevelt now numbered among the "civilized" nations because it had become an industrial and military power... Should control Korea and the Yellow Sea.	‫لأنها أصبحت دولة صناعية وعسكرية ‫عليها التحكم بـ"كوريا" والبحر الأصفر.
And the United States, and only the United States, must police the Western hemisphere.	‫و"الولايات المتحدة" وحدها فقط ‫يجب أن تحكم العالم الغربي.
It was called the Roosevelt corollary to the Monroe doctrine.	‫كانت تدعى بلازمة "روزفلت" ‫لمعتقدات "مونرو".
I don't think Americans by nature are very comfortable with imperialism and never were.	‫لا أعتقد أن الأمريكيين بطبيعتهم مرتاحون ‫للإمبريالية ولم يكونوا كذلك يوماً.
And had he tried to be more imperialistic than he was, he would have been stopped.	‫وإن حاول أن يكون إمبريالياً ‫أكثر مما كان عليه كانوا سيوقفونه.
I think he believed in power.	‫أعتقد أنه آمن بالقوة.
He was not as good as he should have been in dealing with foreign nations and particularly if he thought they were inferior to our way of life or to us as a people.	‫لم يكن جيداً كما يجب بالتعامل مع ‫الشعوب الأجنبية ‫وخاصة إن اعتقد أنهم أقل منزلة ‫بالنسبة إلينا أو بالنسبة إلى أسلوب حياتنا.
His very high-handed treatment of the Colombians during the negotiations for the Panama treaty was inexcusable.	‫معاملته الاستبدادية للكولومبيين خلال ‫المفاوضات على اتفاقية "باناما" ‫لم يكن لها مبرر.
For Roosevelt, one great expansionist vision remained unfulfilled.	‫بالنسبة إلى "روزفلت" ‫تبقى حلم توسعي واحد لم يتحقق بعد.
For more than half a century, American and European investors had dreamed of a central American canal linking the Atlantic to the pacific.	‫لأكثر من نصف قرن كان المستثمرون ‫الأمريكيون والأوروبيون ‫يحلمون بقناة في "أمريكا الوسطى" ‫لتربط المحيط الأطلنطي بالمحيط الهادىء.
Roosevelt believed such an inter-ocean pathway was now indispensable for the full exercise of American naval power.	‫اعتقد "روزفلت" أن ممراً ‫بين المحيطات كهذا ‫لا غنى عنه لتطبيق القوة ‫البحرية الأمريكية الكاملة.
A French company was already trying to build a canal across the jungle-covered Panama province in the nation of Colombia, but that effort had stalled, a victim of poor planning, lack of money, and deadly tropical diseases.	‫بالفعل كانت تحاول شركة فرنسية بناء قناة ‫عبر "باناما" التي تغطيها الأدغال ‫في "كولومبيا" ‫لكن الجهود تعطلت
When the French offered to sell their rights, Roosevelt agreed to buy them, then instructed his secretary of state, John Hay, to negotiate a treaty with Colombia.	‫عندما قرر الفرنسيون بيع حقوقهم لها ‫قام "روزفلت" بالموافقة على شرائها ‫ثم أمر وزير خارجيته "جون هاي" ‫بالتفاوض على اتفاقية مع "كولومبيا".
It called for a payment of $10 million, plus an annual rental fee for a 6-mile "canal zone" across the isthmus.	‫تطلبت دفع 10 ملايين دولار ‫بالإضافة إلى أتعاب إيجار سنوية لمساحة ‫10 كم عبر البرزخ
But the Colombian senate rejected the deal, and then demanded double the price.	‫لكن مجلس الشيوخ الكولومبي ‫رفض الاتفاقية ثم طلب ضعف المبلغ.
Roosevelt was enraged.	‫غضب "روزفلت" كثيراً.
"I do not think that the bogota lot of Jack rabbits	‫قال "لا أعتقد أن المغفلين في (بوغوتا)
"should be allowed permanently to bar one of the future "highways of civilization, " he said.	‫يمكن السماح لهم بمنع أحد ‫أعظم الطرق في تاريخ الحضارات"
The refusal of the Colombian senate to honor its government's commitment was just the latest embodiment of the kind of "chaos" he deplored.	‫رفض مجلس الشيوخ الكولومبي الالتزام ‫بوعود حكومته كان آخر تجسيد ‫على نوع الفوضى التي كرهها.
Roosevelt believed that a canal across the central	‫اعتقد "روزفلت" أن قناة في منتصف ‫البرزخ الأمريكي
American isthmus would be good for the United States and good for civilization.	‫ستكون جيدة لـ"الولايات المتحدة" ‫وللحضارة بأكملها.
It would also be good for Theodore Roosevelt. He often mingled those three.	‫وستكون جيدة أيضاً لـ"ثيودور روزفلت" ‫فعادةً ما خلط بين ثلاثتهم.
And he believed that anybody, any government, any person who stood in the way of that was obstructing civilization.	‫وآمن أن أي حكومة أو شخص يعترض طريق هذا ‫فهو يعترض طريق الحضارة.
And Roosevelt had very little patience for those people who didn't see the way history was going, the way history is supposed to go in the same light that he did, and he simply wouldn't allow them to get in the way.	‫ولم يكن "روزفلت" صبوراً ‫مع مثل هؤلاء ‫ممن لم يروا التاريخ كما ‫يراه هو وكيف يجب أن يتطور. ‫ولم يكن يسمح لهم باعتراض طريقه.
He was determined to get an American canal underway.	‫كان قد قرر أن يبدأ ببناء ‫القناة الأمريكية
He would not attack Colombia directly, but he would exploit the aspirations of the people of Panama province, who had for 50 years asserted their wish to be independent of bogota.	‫لم يكن سيهاجم "كولومبيا" مباشرة ‫لكنه سيستغل طموحات سكان قطاع "باناما" ‫الذين أرادوا استقلالهم منذ 50 عاماً ‫عن "بوغوتا".
Roosevelt agreed to meet with Phillipe Bunau-Varilla, a lobbyist for the French canal-builders, who was in touch with rebels already eager to rise against	‫وافق "روزفلت" على لقاء ‫"فيليب بونو فاريا" ‫ممثل بنائي القناة الفرنسيين ‫والذي كان على تواصل مع الثوار ‫الذين يتوقون للنهوض ضد الحكم الكولومبي.
It was a delicate What did the frenchman think was going to happen in Panama province?	‫كان نقاشاً حساساً ‫ماذا كان يظن الفرنسي أنه ‫سيحدث في "باناما"؟
"Mr. President," his visitor said, "a revolution."	‫قال الزائر، "ثورة يا سيدي الرئيس".
Roosevelt was careful to say nothing about how the United States might respond.	‫كان "روزفلت" حريصاً بعدم ذكر شيء ‫عن كيفية رد "الولايات المتحدة".
His silence spoke volumes.	‫لكن صمته دل على الكثير.
He had no assurances in any way, but he is a very able fellow, and it was his business to find out what he thought our government would do.	‫لم يكن لديه تأكيد بأي طريقة ‫لكنه شخص قادر. ‫وكان من شأنه أن يعرف ‫ماذا ستفعل حكومتنا.
I have no doubt that he was able to make a very accurate guess and to advise his people accordingly.	‫لا أشك في أنه عرف تماماً ما كنا سنفعله ‫وأنه سينصح شعبه بناء على ذلك.
In fact, he would have been a very dull man had he been unable to make such a guess.	‫في الواقع، كان لابد أن يكون غبياً جداً ‫إن لم يتمكن من توقع الأمر.
5 days later, the rebels proclaimed their independence.	‫بعد خمسة أيام، أعلن الثوار استقلالهم.
An American cruiser landed troops to overcome the handful of Colombian soldiers the revolutionaries hadn't already bought off.	‫هبطت طوافة أمريكية بالجنود ‫للتغلب على المجموعة الصغيرة ‫من الجنود الكولومبيين ‫الذين لم يرشوهم الثوار بعد.
It was all over within 72 hours.	‫انتهى كل شيء خلال 72 ساعة.
The President was presiding at a cabinet meeting at 11:35 on the morning of November 6, 1903, when a messenger brought him the happy news.	‫كان الرئيس يترأس جلسة مجلس ‫الساعة 11 و30 دقيقة، صباح 6 نوفمبر 1903 ‫عندما أبلغه مراسل ‫بالنبأ السعيد.
By the time lunch was served, the United States had recognized the brand-new Republic of Panama.	‫بوقت تقديم الغداء، ‫كانت "الولايات المتحدة" ‫تعترف بجمهورية "باناما" الحديثة.
"The people of the isthmus, " Roosevelt would claim, "rose literally as one man."	‫قال "روزفلت"، ‫"شعب البرزخ نهضوا كرجل واحد".
"Yes, " said a senate critic, "and that man was Roosevelt."	‫قال ناقد مجلس الشيوخ ‫"أجل، وذلك الرجل هو (روزفلت)."
Work on the great canal began again, but now it was an American project.	‫بدأ العمل على القناة العظيمة مجدداً ‫لكنها أصبحت مشروعاً أمريكياً الآن
And Roosevelt himself would not be able to resist seeing it for himself, the first President ever to leave the country while in office.	‫ولم يقاوم "روزفلت" الذهاب ‫لرؤيتها بنفسه ‫أول رئيس يغادر البلاد ‫وهو في منصبه.
The Panama canal is one of the great achievements of the human race.	‫إن قناة "باناما" أحد أعظم الإنجازات ‫للعرق البشري.
I mean just a stupendous achievement, wonderfully conceived, brilliantly executed, with all kinds of ancillary benefits...	‫أعني أنه إنجاز مذهل ‫وفكرته مهولة ‫ونفذ بعبقرية مع جميع أنواع الفوائد ‫الإضافية كهزيمة الأمراض وأشياء أخرى.
And it's the sort of thing that America did just to affirm its greatness.	‫وهو شيء فعلته "أمريكا" ‫من أجل تأكيد عظمتها.
It's better to do it that way than conquering other people.	‫وفعلها بهذه الطريقة ‫أفضل من غزو الآخرين
This was a wholly beneficial addition.	‫وهذا بحد ذاته فائدة إضافية.
Now we did get the land for the Panama canal by a not-too-salubrious deal with certain central American countries.	‫لقد حصلنا على الأرض لقناة "باناما" ‫بطريقة ليست ناجعة جداً ‫بالنسبة لبعض دول "أمريكا الوسطى".
But as was said at the time of the Panama canal treaty, "we stole it fair and square."	‫لكنه كما قيل وقت معاهدة قناة "باناما" ‫"لقد سرقناها بالعدل."
I took the canal zone and let congress debate, and while the debate goes on, the canal does, too.	‫"مسار القناة" ‫أنا أخذت منطقة القناة وتركت الكونغرس ‫يتناظر بالأمر، ‫وبهذه الأثناء استمر الجدل ‫وكذلك العمل على القناة.
And now instead of discussing the canal before it was built, which would have been harmful, they merely discuss me...	‫وبدلاً من مناقشة القناة قبل البدء ببنائها ‫وكان سيصبح أمراً ضاراً، ‫فهم يناقشون أمري فقط
A discussion which I regard with benign interest.	‫وهو نقاش أقدره كثيراً.
For Thanksgiving that year, Franklin Roosevelt and his mother traveled to the delano family homestead at Fairhaven, Massachusetts, rather than face the prospect of being at Springwood without his father, Mr. James.	‫في عيد الشكر ذلك العام ذهب ‫"فرانكلين روزفلت" ووالدته ‫إلى منزل عائلة "ديلانو" ‫في "فايرهايفن"، "ماساتشوستس" ‫بدلاً من مواجهة التواجد في "سبرينغوود" ‫دون والده السيد "جايمس".
After dinner, Franklin took Sara for a walk in the garden.	‫بعد العشاء أخذ "فرانكلين" "سارة" ‫لتمشي في الحديقة.
He had something to tell her.	‫كان لديه ما يخبرها به.
He had fallen in love with his fifth cousin, Eleanor Roosevelt, the orphaned daughter of the President's late brother, Elliot.	‫فقد وقع في الحب مع ابنة عمه ‫الخامسة "إلينور روزفلت" ‫اليتيمة ابنة أخي الرئيس ‫المتوفى "إليوت"
He had asked her to marry him.	‫وطلب منها الزواج به.
She had said yes.	‫وقد وافقت.
Sara was stunned.	‫صعقت "سارة".
Franklin was just 21; Eleanor only 19.	‫كانا يافعين برأيها، "فرانكلين" عمره ‫21 عاماً و"إلينور" عمرها 19 عاماً
And if they married, she feared she would be left alone.	‫وإن تزوجا، ‫فقد كانت تخشى أن تترك وحدها.
Franklin did his best to reassure her.	‫فعل "فرانكلين" ما بوسعه لطمأنتها.
"You know, dear mummy, that nothing can ever change "what we have always been and always will be to each other, " he wrote.	‫"تعلمين يا أمي العزيزة أن لا شيء سيتغير ‫ما بيننا سيكون كذلك إلى الأبد."
"Only now you have two children to love and to love you."	‫"ولكن لديك طفلين الآن ‫لتحبيهما وليحباك."
It is impossible for me to tell you how I feel toward Franklin.	‫يستحيل لي أن أخبرك ‫بما أشعر به تجاه "فرانكلين".
